Age,Gender,Education Level,Job Title,Years of Experience,Salary
27,Male,Bachelor's Degree,Software Developer,3,60000
35,Female,Master's Degree,Marketing Coordinator,8,85000
30,Male,Bachelor's Degree,Operations Manager,5,70000
26,Female,Master's Degree,Human Resources Coordinator,3,50000
41,Male,PhD,Data Scientist,13,140000
33,Female,Bachelor's Degree,Human Resources Manager,6,75000
27,Male,High School,Junior Sales Associate,2,35000
38,Female,Master's Degree,Marketing Manager,10,110000
29,Male,Bachelor's Degree,Software Engineer,4,65000
46,Male,PhD,Data Scientist,18,180000
26,Female,Bachelor's Degree,Junior Software Developer,1,35000
39,Female,Master's Degree,Human Resources Manager,11,120000
32,Male,Bachelor's Degree,Operations Manager,6,75000
28,Female,High School,Junior Sales Associate,1,30000
43,Male,PhD,Data Scientist,16,160000
27,Male,Bachelor's Degree,Software Developer,3,60000
24,Male,Bachelor's Degree,Software Engineer,2,55000
32,Female,Master's Degree,Marketing Manager,7,90000
45,Male,PhD,Data Scientist,16,160000
28,Female,Bachelor's Degree,Human Resources Coordinator,4,60000
22,Male,High School,Junior Sales Associate,1,25000
29,Female,Master's Degree,Software Developer,5,70000
36,Male,Bachelor's Degree,Operations Manager,8,100000
27,Female,Bachelor's Degree,Marketing Coordinator,3,45000
42,Male,PhD,Data Scientist,14,140000
34,Female,Bachelor's Degree,Human Resources Manager,6,75000
25,Male,High School,Junior Sales Associate,2,30000
39,Female,Master's Degree,Marketing Manager,11,120000
30,Male,Bachelor's Degree,Software Engineer,4,65000
47,Male,PhD,Data Scientist,19,190000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
40,Female,Master's Degree,Human Resources Manager,12,130000
33,Male,Bachelor's Degree,Operations Manager,7,85000
29,Female,High School,Junior Sales Associate,1,25000
44,Male,PhD,Data Scientist,15,150000
28,Male,Bachelor's Degree,Software Developer,3,60000
36,Female,Master's Degree,Marketing Coordinator,9,100000
31,Male,Bachelor's Degree,Operations Manager,6,75000
27,Female,Master's Degree,Human Resources Coordinator,3,50000
42,Male,PhD,Data Scientist,14,140000
34,Female,Bachelor's Degree,Human Resources Manager,6,75000
26,Male,High School,Junior Sales Associate,2,30000
39,Female,Master's Degree,Marketing Manager,11,120000
30,Male,Bachelor's Degree,Software Engineer,4,65000
47,Male,PhD,Data Scientist,19,190000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
40,Female,Master's Degree,Human Resources Manager,12,130000
33,Male,Bachelor's Degree,Operations Manager,7,85000
29,Female,High School,Junior Sales Associate,1,25000
44,Male,PhD,Data Scientist,15,150000
28,Male,Bachelor's Degree,Software Developer,3,60000
36,Female,Master's Degree,Marketing Coordinator,9,100000
31,Male,Bachelor's Degree,Operations Manager,6,75000
27,Female,Master's Degree,Human Resources Coordinator,3,50000
42,Male,PhD,Data Scientist,14,140000
34,Female,Bachelor's Degree,Human Resources Manager,6,75000
26,Male,High School,Junior Sales Associate,2,30000
39,Female,Master's Degree,Marketing Manager,11,120000
30,Male,Bachelor's Degree,Software Engineer,4,65000
47,Male,PhD,Data Scientist,19,190000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
40,Female,Master's Degree,Human Resources Manager,12,130000
33,Male,Bachelor's Degree,Operations Manager,7,85000
29,Female,High School,Junior Sales Associate,1,25000
44,Male,PhD,Data Scientist,15,150000
28,Male,Bachelor's Degree,Software Developer,3,60000
36,Female,Master's Degree,Marketing Coordinator,9,100000
31,Male,Bachelor's Degree,Operations Manager,6,75000
27,Female,Master's Degree,Human Resources Coordinator,3,50000
42,Male,PhD,Data Scientist,14,140000
34,Female,Bachelor's Degree,Human Resources Manager,6,75000
26,Male,High School,Junior Sales Associate,2,30000
39,Female,Master's Degree,Marketing Manager,11,120000
30,Male,Bachelor's Degree,Software Engineer,4,65000
47,Male,PhD,Data Scientist,19,190000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
40,Female,Master's Degree,Human Resources Manager,12,130000
33,Male,Bachelor's Degree,Operations Manager,7,85000
29,Female,High School,Junior Sales Associate,1,25000
44,Male,PhD,Data Scientist,15,150000
28,Male,Bachelor's Degree,Software Developer,3,60000
36,Female,Master's Degree,Marketing Coordinator,9,100000
31,Male,Bachelor's Degree,Operations Manager,6,75000
27,Female,Master's Degree,Human Resources Coordinator,3,50000
42,Male,PhD,Data Scientist,14,140000
34,Female,Bachelor's Degree,Human Resources Manager,6,75000
26,Male,High School,Junior Sales Associate,2,30000
39,Female,Master's Degree,Marketing Manager,11,120000
30,Male,Bachelor's Degree,Software Engineer,4,65000
47,Male,PhD,Data Scientist,19,190000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
40,Female,Master's Degree,Human Resources Manager,12,130000
33,Male,Bachelor's Degree,Operations Manager,7,85000
29,Female,High School,Junior Sales Associate,1,25000
44,Male,PhD,Data Scientist,15,150000
28,Male,Bachelor's Degree,Software Developer,3,60000
36,Female,Master's Degree,Marketing Coordinator,9,100000
31,Male,Bachelor's Degree,Operations Manager,6,75000
27,Female,Master's Degree,Human Resources Coordinator,3,50000
42,Male,PhD,Data Scientist,14,140000
34,Female,Bachelor's Degree,Human Resources Manager,6,75000
26,Male,High School,Junior Sales Associate,2,30000
39,Female,Master's Degree,Marketing Manager,11,120000
30,Male,Bachelor's Degree,Software Engineer,4,65000
47,Male,PhD,Data Scientist,19,190000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
40,Female,Master's Degree,Human Resources Manager,12,130000
33,Male,Bachelor's Degree,Operations Manager,7,85000
29,Female,High School,Junior Sales Associate,1,25000
44,Male,PhD,Data Scientist,15,150000
28,Male,Bachelor's Degree,Software Developer,3,60000
36,Female,Master's Degree,Marketing Coordinator,9,100000
31,Male,Bachelor's Degree,Operations Manager,6,75000
27,Female,Master's Degree,Human Resources Coordinator,3,50000
42,Male,PhD,Data Scientist,14,140000
34,Female,Bachelor's Degree,Human Resources Manager,6,75000
26,Male,High School,Junior Sales Associate,2,30000
39,Female,Master's Degree,Marketing Manager,11,120000
30,Male,Bachelor's Degree,Software Engineer,4,65000
47,Male,PhD,Data Scientist,19,190000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
40,Female,Master's Degree,Human Resources Manager,12,130000
33,Male,Bachelor's Degree,Operations Manager,7,85000
29,Female,High School,Junior Sales Associate,1,25000
44,Male,PhD,Data Scientist,15,150000
28,Male,Bachelor's Degree,Software Developer,3,60000
36,Female,Master's Degree,Marketing Coordinator,9,100000
31,Male,Bachelor's Degree,Operations Manager,6,75000
27,Female,Master's Degree,Human Resources Coordinator,3,50000
42,Male,PhD,Data Scientist,14,140000
34,Female,Bachelor's Degree,Human Resources Manager,6,75000
26,Male,High School,Junior Sales Associate,2,30000
39,Female,Master's Degree,Marketing Manager,11,120000
30,Male,Bachelor's Degree,Software Engineer,4,65000
47,Male,PhD,Data Scientist,19,190000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
40,Female,Master's Degree,Human Resources Manager,12,130000
33,Male,Bachelor's Degree,Operations Manager,7,85000
29,Female,High School,Junior Sales Associate,1,25000
44,Male,PhD,Data Scientist,15,150000
28,Male,Bachelor's Degree,Software Developer,3,60000
31,Male,Bachelor's Degree,Software Engineer,5,80000
27,Female,Master's Degree,Marketing Manager,3,60000
38,Male,PhD,Data Scientist,12,130000
29,Female,Bachelor's Degree,Human Resources Coordinator,2,45000
23,Male,High School,Junior Sales Associate,1,25000
32,Female,Master's Degree,Software Developer,7,90000
44,Male,Bachelor's Degree,Operations Manager,18,170000
26,Female,Bachelor's Degree,Marketing Coordinator,2,40000
40,Male,PhD,Data Scientist,15,150000
33,Female,Bachelor's Degree,Human Resources Manager,8,95000
24,Male,High School,Junior Sales Associate,1,25000
35,Female,Master's Degree,Marketing Manager,10,110000
29,Male,Bachelor's Degree,Software Engineer,4,70000
49,Male,PhD,Data Scientist,22,220000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
41,Female,Master's Degree,Human Resources Manager,13,140000
36,Male,Bachelor's Degree,Operations Manager,9,110000
28,Female,High School,Junior Sales Associate,1,25000
43,Male,PhD,Data Scientist,16,160000
29,Male,Bachelor's Degree,Software Developer,5,80000
39,Female,Master's Degree,Marketing Coordinator,11,120000
32,Male,Bachelor's Degree,Operations Manager,6,90000
28,Female,Master's Degree,Human Resources Coordinator,2,45000
40,Male,PhD,Data Scientist,15,150000
33,Female,Bachelor's Degree,Human Resources Manager,8,95000
24,Male,High School,Junior Sales Associate,1,25000
35,Female,Master's Degree,Marketing Manager,10,110000
29,Male,Bachelor's Degree,Software Engineer,4,70000
49,Male,PhD,Data Scientist,22,220000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
41,Female,Master's Degree,Human Resources Manager,13,140000
36,Male,Bachelor's Degree,Operations Manager,9,110000
28,Female,High School,Junior Sales Associate,1,25000
43,Male,PhD,Data Scientist,16,160000
29,Male,Bachelor's Degree,Software Developer,5,80000
39,Female,Master's Degree,Marketing Coordinator,11,120000
32,Male,Bachelor's Degree,Operations Manager,6,90000
28,Female,Master's Degree,Human Resources Coordinator,2,45000
40,Male,PhD,Data Scientist,15,150000
33,Female,Bachelor's Degree,Human Resources Manager,8,95000
24,Male,High School,Junior Sales Associate,1,25000
35,Female,Master's Degree,Marketing Manager,10,110000
29,Male,Bachelor's Degree,Software Engineer,4,70000
49,Male,PhD,Data Scientist,22,220000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
41,Female,Master's Degree,Human Resources Manager,13,140000
36,Male,Bachelor's Degree,Operations Manager,9,110000
28,Female,High School,Junior Sales Associate,1,25000
43,Male,PhD,Data Scientist,16,160000
29,Male,Bachelor's Degree,Software Developer,5,80000
39,Female,Master's Degree,Marketing Coordinator,11,120000
32,Male,Bachelor's Degree,Operations Manager,6,90000
28,Female,Master's Degree,Human Resources Coordinator,2,45000
40,Male,PhD,Data Scientist,15,150000
33,Female,Bachelor's Degree,Human Resources Manager,8,95000
24,Male,High School,Junior Sales Associate,1,25000
35,Female,Master's Degree,Marketing Manager,10,110000
29,Male,Bachelor's Degree,Software Engineer,4,70000
49,Male,PhD,Data Scientist,22,220000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
41,Female,Master's Degree,Human Resources Manager,13,140000
36,Male,Bachelor's Degree,Operations Manager,9,110000
28,Female,High School,Junior Sales Associate,1,25000
43,Male,PhD,Data Scientist,16,160000
29,Male,Bachelor's Degree,Software Developer,5,80000
39,Female,Master's Degree,Marketing Coordinator,11,120000
32,Male,Bachelor's Degree,Operations Manager,6,90000
28,Female,Master's Degree,Human Resources Coordinator,2,45000
40,Male,PhD,Data Scientist,15,150000
33,Female,Bachelor's Degree,Human Resources Manager,8,95000
24,Male,High School,Junior Sales Associate,1,25000
35,Female,Master's Degree,Marketing Manager,10,110000
29,Male,Bachelor's Degree,Software Engineer,4,70000
49,Male,PhD,Data Scientist,22,220000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
41,Female,Master's Degree,Human Resources Manager,13,140000
36,Male,Bachelor's Degree,Operations Manager,9,110000
28,Female,High School,Junior Sales Associate,1,25000
43,Male,PhD,Data Scientist,16,160000
29,Male,Bachelor's Degree,Software Developer,5,80000
39,Female,Master's Degree,Marketing Coordinator,11,120000
32,Male,Bachelor's Degree,Operations Manager,6,90000
28,Female,Master's Degree,Human Resources Coordinator,2,45000
40,Male,PhD,Data Scientist,15,150000
33,Female,Bachelor's Degree,Human Resources Manager,8,95000
24,Male,High School,Junior Sales Associate,1,25000
35,Female,Master's Degree,Marketing Manager,10,110000
29,Male,Bachelor's Degree,Software Engineer,4,70000
49,Male,PhD,Data Scientist,22,220000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
41,Female,Master's Degree,Human Resources Manager,13,140000
36,Male,Bachelor's Degree,Operations Manager,9,110000
28,Female,High School,Junior Sales Associate,1,25000
43,Male,PhD,Data Scientist,16,160000
29,Male,Bachelor's Degree,Software Developer,5,80000
39,Female,Master's Degree,Marketing Coordinator,11,120000
32,Male,Bachelor's Degree,Operations Manager,6,90000
28,Female,Master's Degree,Human Resources Coordinator,2,45000
40,Male,PhD,Data Scientist,15,150000
33,Female,Bachelor's Degree,Human Resources Manager,8,95000
24,Male,High School,Junior Sales Associate,1,25000
35,Female,Master's Degree,Marketing Manager,10,110000
29,Male,Bachelor's Degree,Software Engineer,4,70000
49,Male,PhD,Data Scientist,22,220000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
41,Female,Master's Degree,Human Resources Manager,13,140000
36,Male,Bachelor's Degree,Operations Manager,9,110000
28,Female,High School,Junior Sales Associate,1,25000
43,Male,PhD,Data Scientist,16,160000
29,Male,Bachelor's Degree,Software Developer,5,80000
39,Female,Master's Degree,Marketing Coordinator,11,120000
32,Male,Bachelor's Degree,Operations Manager,6,90000
28,Female,Master's Degree,Human Resources Coordinator,2,45000
40,Male,PhD,Data Scientist,15,150000
33,Female,Bachelor's Degree,Human Resources Manager,8,95000
24,Male,High School,Junior Sales Associate,1,25000
35,Female,Master's Degree,Marketing Manager,10,110000
29,Male,Bachelor's Degree,Software Engineer,4,70000
49,Male,PhD,Data Scientist,22,220000
26,Female,Bachelor's Degree,Junior Software Developer,2,35000
41,Female,Master's Degree,Human Resources Manager,13,140000
36,Male,Bachelor's Degree,Operations Manager,9,110000
28,Female,High School,Junior Sales Associate,1,25000
43,Male,PhD,Data Scientist,16,160000
29,Male,Bachelor's Degree,Software Developer,5,80000
34,Male,Bachelor's Degree,Software Engineer,6,85000
31,Female,Master's Degree,Marketing Manager,4,62000
41,Male,PhD,Data Scientist,13,138000
27,Female,Bachelor's Degree,Human Resources Coordinator,2,47000
25,Male,High School,Junior Sales Associate,1,26000
33,Female,Master's Degree,Software Developer,8,95000
45,Male,Bachelor's Degree,Operations Manager,19,174000
28,Female,Bachelor's Degree,Marketing Coordinator,2,41000
42,Male,PhD,Data Scientist,16,162000
34,Female,Bachelor's Degree,Human Resources Manager,9,99000
23,Male,High School,Junior Sales Associate,1,26000
36,Female,Master's Degree,Marketing Manager,11,117000
30,Male,Bachelor's Degree,Software Engineer,5,75000
50,Male,PhD,Data Scientist,23,225000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
43,Female,Master's Degree,Human Resources Manager,14,146000
37,Male,Bachelor's Degree,Operations Manager,10,113000
29,Female,High School,Junior Sales Associate,1,26000
44,Male,PhD,Data Scientist,17,168000
30,Male,Bachelor's Degree,Software Developer,6,85000
40,Female,Master's Degree,Marketing Coordinator,12,122000
33,Male,Bachelor's Degree,Operations Manager,7,96000
29,Female,Master's Degree,Human Resources Coordinator,3,49000
43,Male,PhD,Data Scientist,16,162000
34,Female,Bachelor's Degree,Human Resources Manager,9,99000
23,Male,High School,Junior Sales Associate,1,26000
36,Female,Master's Degree,Marketing Manager,11,117000
30,Male,Bachelor's Degree,Software Engineer,5,75000
50,Male,PhD,Data Scientist,23,225000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
43,Female,Master's Degree,Human Resources Manager,14,146000
37,Male,Bachelor's Degree,Operations Manager,10,113000
29,Female,High School,Junior Sales Associate,1,26000
44,Male,PhD,Data Scientist,17,168000
30,Male,Bachelor's Degree,Software Developer,6,85000
40,Female,Master's Degree,Marketing Coordinator,12,122000
33,Male,Bachelor's Degree,Operations Manager,7,96000
29,Female,Master's Degree,Human Resources Coordinator,3,49000
43,Male,PhD,Data Scientist,16,162000
34,Female,Bachelor's Degree,Human Resources Manager,9,99000
23,Male,High School,Junior Sales Associate,1,26000
36,Female,Master's Degree,Marketing Manager,11,117000
30,Male,Bachelor's Degree,Software Engineer,5,75000
50,Male,PhD,Data Scientist,23,225000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
43,Female,Master's Degree,Human Resources Manager,14,146000
37,Male,Bachelor's Degree,Operations Manager,10,113000
29,Female,High School,Junior Sales Associate,1,26000
44,Male,PhD,Data Scientist,17,168000
30,Male,Bachelor's Degree,Software Developer,6,85000
40,Female,Master's Degree,Marketing Coordinator,12,122000
33,Male,Bachelor's Degree,Operations Manager,7,96000
29,Female,Master's Degree,Human Resources Coordinator,3,49000
43,Male,PhD,Data Scientist,16,162000
34,Female,Bachelor's Degree,Human Resources Manager,9,99000
23,Male,High School,Junior Sales Associate,1,26000
36,Female,Master's Degree,Marketing Manager,11,117000
30,Male,Bachelor's Degree,Software Engineer,5,75000
50,Male,PhD,Data Scientist,23,225000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
43,Female,Master's Degree,Human Resources Manager,14,146000
37,Male,Bachelor's Degree,Operations Manager,10,113000
29,Female,High School,Junior Sales Associate,1,26000
44,Male,PhD,Data Scientist,17,168000
30,Male,Bachelor's Degree,Software Developer,6,85000
40,Female,Master's Degree,Marketing Coordinator,12,122000
33,Male,Bachelor's Degree,Operations Manager,7,96000
29,Female,Master's Degree,Human Resources Coordinator,3,49000
43,Male,PhD,Data Scientist,16,162000
34,Female,Bachelor's Degree,Human Resources Manager,9,99000
23,Male,High School,Junior Sales Associate,1,26000
36,Female,Master's Degree,Marketing Manager,11,117000
30,Male,Bachelor's Degree,Software Engineer,5,75000
50,Male,PhD,Data Scientist,23,225000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
43,Female,Master's Degree,Human Resources Manager,14,146000
37,Male,Bachelor's Degree,Operations Manager,10,113000
29,Female,High School,Junior Sales Associate,1,26000
44,Male,PhD,Data Scientist,17,168000
30,Male,Bachelor's Degree,Software Developer,6,85000
40,Female,Master's Degree,Marketing Coordinator,12,122000
33,Male,Bachelor's Degree,Operations Manager,7,96000
29,Female,Master's Degree,Human Resources Coordinator,3,49000
43,Male,PhD,Data Scientist,16,162000
34,Female,Bachelor's Degree,Human Resources Manager,9,99000
23,Male,High School,Junior Sales Associate,1,26000
36,Female,Master's Degree,Marketing Manager,11,117000
30,Male,Bachelor's Degree,Software Engineer,5,75000
50,Male,PhD,Data Scientist,23,225000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
43,Female,Master's Degree,Human Resources Manager,14,146000
37,Male,Bachelor's Degree,Operations Manager,10,113000
29,Female,High School,Junior Sales Associate,1,26000
44,Male,PhD,Data Scientist,17,168000
30,Male,Bachelor's Degree,Software Developer,6,85000
40,Female,Master's Degree,Marketing Coordinator,12,122000
33,Male,Bachelor's Degree,Operations Manager,7,96000
29,Female,Master's Degree,Human Resources Coordinator,3,49000
43,Male,PhD,Data Scientist,16,162000
34,Female,Bachelor's Degree,Human Resources Manager,9,99000
23,Male,High School,Junior Sales Associate,1,26000
36,Female,Master's Degree,Marketing Manager,11,117000
30,Male,Bachelor's Degree,Software Engineer,5,75000
50,Male,PhD,Data Scientist,23,225000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
43,Female,Master's Degree,Human Resources Manager,14,146000
37,Male,Bachelor's Degree,Operations Manager,10,113000
29,Female,High School,Junior Sales Associate,1,26000
44,Male,PhD,Data Scientist,17,168000
30,Male,Bachelor's Degree,Software Developer,6,85000
40,Female,Master's Degree,Marketing Coordinator,12,122000
33,Male,Bachelor's Degree,Operations Manager,7,96000
29,Female,Master's Degree,Human Resources Coordinator,3,49000
43,Male,PhD,Data Scientist,16,162000
34,Female,Bachelor's Degree,Human Resources Manager,9,99000
23,Male,High School,Junior Sales Associate,1,26000
36,Female,Master's Degree,Marketing Manager,11,117000
30,Male,Bachelor's Degree,Software Engineer,5,75000
50,Male,PhD,Data Scientist,23,225000
27,Female,Bachelor's Degree,Junior Software Developer,2,36000
43,Female,Master's Degree,Human Resources Manager,14,146000
37,Male,Bachelor's Degree,Operations Manager,10,113000
29,Female,High School,Junior Sales Associate,1,26000
44,Male,PhD,Data Scientist,17,168000
30,Male,Bachelor's Degree,Software Developer,6,85000
32,Female,Master's Degree,Software Developer,8,95000
46,Male,PhD,Data Scientist,18,180000
28,Female,Bachelor's Degree,Marketing Coordinator,2,41000
24,Male,High School,Junior Sales Associate,1,26000
31,Female,Master's Degree,Marketing Manager,5,68000
39,Male,Bachelor's Degree,Operations Manager,13,127000
25,Female,Bachelor's Degree,Human Resources Coordinator,2,47000
41,Male,PhD,Data Scientist,15,155000
35,Female,Bachelor's Degree,Human Resources Manager,8,92000
26,Male,High School,Junior Sales Associate,1,26000
37,Female,Master's Degree,Marketing Manager,12,125000
29,Male,Bachelor's Degree,Software Engineer,4,71000
51,Male,PhD,Data Scientist,24,240000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
44,Female,Master's Degree,Human Resources Manager,15,152000
38,Male,Bachelor's Degree,Operations Manager,11,119000
30,Female,High School,Junior Sales Associate,1,26000
45,Male,PhD,Data Scientist,19,190000
31,Male,Bachelor's Degree,Software Developer,6,85000
41,Female,Master's Degree,Marketing Coordinator,13,131000
34,Male,Bachelor's Degree,Operations Manager,8,101000
30,Female,Master's Degree,Human Resources Coordinator,3,49000
44,Male,PhD,Data Scientist,18,182000
35,Female,Bachelor's Degree,Human Resources Manager,8,92000
26,Male,High School,Junior Sales Associate,1,26000
37,Female,Master's Degree,Marketing Manager,12,125000
29,Male,Bachelor's Degree,Software Engineer,4,71000
51,Male,PhD,Data Scientist,24,240000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
44,Female,Master's Degree,Human Resources Manager,15,152000
38,Male,Bachelor's Degree,Operations Manager,11,119000
30,Female,High School,Junior Sales Associate,1,26000
45,Male,PhD,Data Scientist,19,190000
31,Male,Bachelor's Degree,Software Developer,6,85000
41,Female,Master's Degree,Marketing Coordinator,13,131000
34,Male,Bachelor's Degree,Operations Manager,8,101000
30,Female,Master's Degree,Human Resources Coordinator,3,49000
44,Male,PhD,Data Scientist,18,182000
35,Female,Bachelor's Degree,Human Resources Manager,8,92000
26,Male,High School,Junior Sales Associate,1,26000
37,Female,Master's Degree,Marketing Manager,12,125000
29,Male,Bachelor's Degree,Software Engineer,4,71000
51,Male,PhD,Data Scientist,24,240000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
44,Female,Master's Degree,Human Resources Manager,15,152000
38,Male,Bachelor's Degree,Operations Manager,11,119000
30,Female,High School,Junior Sales Associate,1,26000
45,Male,PhD,Data Scientist,19,190000
31,Male,Bachelor's Degree,Software Developer,6,85000
41,Female,Master's Degree,Marketing Coordinator,13,131000
34,Male,Bachelor's Degree,Operations Manager,8,101000
30,Female,Master's Degree,Human Resources Coordinator,3,49000
44,Male,PhD,Data Scientist,18,182000
35,Female,Bachelor's Degree,Human Resources Manager,8,92000
26,Male,High School,Junior Sales Associate,1,26000
37,Female,Master's Degree,Marketing Manager,12,125000
29,Male,Bachelor's Degree,Software Engineer,4,71000
51,Male,PhD,Data Scientist,24,240000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
44,Female,Master's Degree,Human Resources Manager,15,152000
38,Male,Bachelor's Degree,Operations Manager,11,119000
30,Female,High School,Junior Sales Associate,1,26000
45,Male,PhD,Data Scientist,19,190000
31,Male,Bachelor's Degree,Software Developer,6,85000
41,Female,Master's Degree,Marketing Coordinator,13,131000
34,Male,Bachelor's Degree,Operations Manager,8,101000
30,Female,Master's Degree,Human Resources Coordinator,3,49000
44,Male,PhD,Data Scientist,18,182000
35,Female,Bachelor's Degree,Human Resources Manager,8,92000
26,Male,High School,Junior Sales Associate,1,26000
37,Female,Master's Degree,Marketing Manager,12,125000
29,Male,Bachelor's Degree,Software Engineer,4,71000
51,Male,PhD,Data Scientist,24,240000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
44,Female,Master's Degree,Human Resources Manager,15,152000
38,Male,Bachelor's Degree,Operations Manager,11,119000
30,Female,High School,Junior Sales Associate,1,26000
45,Male,PhD,Data Scientist,19,190000
31,Male,Bachelor's Degree,Software Developer,6,85000
41,Female,Master's Degree,Marketing Coordinator,13,131000
34,Male,Bachelor's Degree,Operations Manager,8,101000
30,Female,Master's Degree,Human Resources Coordinator,3,49000
44,Male,PhD,Data Scientist,18,182000
35,Female,Bachelor's Degree,Human Resources Manager,8,92000
26,Male,High School,Junior Sales Associate,1,26000
37,Female,Master's Degree,Marketing Manager,12,125000
29,Male,Bachelor's Degree,Software Engineer,4,71000
51,Male,PhD,Data Scientist,24,240000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
44,Female,Master's Degree,Human Resources Manager,15,152000
38,Male,Bachelor's Degree,Operations Manager,11,119000
30,Female,High School,Junior Sales Associate,1,26000
45,Male,PhD,Data Scientist,19,190000
31,Male,Bachelor's Degree,Software Developer,6,85000
41,Female,Master's Degree,Marketing Coordinator,13,131000
34,Male,Bachelor's Degree,Operations Manager,8,101000
30,Female,Master's Degree,Human Resources Coordinator,3,49000
44,Male,PhD,Data Scientist,18,182000
35,Female,Bachelor's Degree,Human Resources Manager,8,92000
26,Male,High School,Junior Sales Associate,1,26000
37,Female,Master's Degree,Marketing Manager,12,125000
29,Male,Bachelor's Degree,Software Engineer,4,71000
51,Male,PhD,Data Scientist,24,240000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
44,Female,Master's Degree,Human Resources Manager,15,152000
38,Male,Bachelor's Degree,Operations Manager,11,119000
30,Female,High School,Junior Sales Associate,1,26000
45,Male,PhD,Data Scientist,19,190000
31,Male,Bachelor's Degree,Software Developer,6,85000
41,Female,Master's Degree,Marketing Coordinator,13,131000
34,Male,Bachelor's Degree,Operations Manager,8,101000
30,Female,Master's Degree,Human Resources Coordinator,3,49000
44,Male,PhD,Data Scientist,18,182000
35,Female,Bachelor's Degree,Human Resources Manager,8,92000
26,Male,High School,Junior Sales Associate,1,26000
37,Female,Master's Degree,Marketing Manager,12,125000
29,Male,Bachelor's Degree,Software Engineer,4,71000
51,Male,PhD,Data Scientist,24,240000
28,Female,Bachelor's Degree,Junior Software Developer,2,36000
44,Female,Master's Degree,Human Resources Manager,15,152000
38,Male,Bachelor's Degree,Operations Manager,11,119000
30,Female,High School,Junior Sales Associate,1,26000
45,Male,PhD,Data Scientist,19,190000
31,Male,Bachelor's Degree,Software Developer,6,85000
41,Female,Master's Degree,Marketing Coordinator,13,131000
27,Male,Bachelor's Degree,Software Developer,3,62000
42,Female,Master's Degree,Marketing Manager,16,137000
35,Male,PhD,Data Scientist,9,112000
29,Female,Bachelor's Degree,Human Resources Coordinator,2,45000
33,Male,High School,Junior Sales Associate,1,25000
36,Female,Bachelor's Degree,Operations Manager,7,91000
43,Male,PhD,Data Scientist,17,179000
31,Female,Bachelor's Degree,Software Engineer,5,74000
49,Male,Master's Degree,Marketing Manager,23,228000
28,Female,Bachelor's Degree,Junior Software Developer,2,37000
45,Female,PhD,Data Scientist,19,193000
38,Male,Bachelor's Degree,Operations Manager,11,119000
30,Female,High School,Junior Sales Associate,1,25000
45,Male,Master's Degree,Marketing Manager,20,204000
27,Female,Bachelor's Degree,Software Developer,3,61000
41,Male,PhD,Data Scientist,15,157000
35,Female,Master's Degree,Human Resources Manager,8,92000
26,Male,Bachelor's Degree,Software Engineer,1,52000
30,Female,Bachelor's Degree,Marketing Coordinator,4,58000
48,Male,PhD,Data Scientist,22,219000
32,Female,Master's Degree,Marketing Manager,6,77000
34,Male,Bachelor's Degree,Operations Manager,8,104000
31,Female,High School,Junior Sales Associate,1,25000
45,Male,Master's Degree,Marketing Manager,20,204000
28,Female,Bachelor's Degree,Junior Software Developer,2,37000
44,Female,PhD,Data Scientist,18,183000
38,Male,Bachelor's Degree,Operations Manager,11,119000
30,Female,High School,Junior Sales Associate,1,25000
45,Male,Master's Degree,Marketing Manager,20,204000
27,Female,Bachelor's Degree,Software Developer,3,61000
41,Male,PhD,Data Scientist,15,157000
35,Female,Master's Degree,Human Resources Manager,8,92000
26,Male,Bachelor's Degree,Software Engineer,1,52000
30,Female,Bachelor's Degree,Marketing Coordinator,4,58000
48,Male,PhD,Data Scientist,22,219000
32,Female,Master's Degree,Marketing Manager,6,77000
